source_system,raw_school_ref,canonical_school_id,canonical_school_name
northquill,Juniper Vale South MS,SCH-03005,Juniper Vale South MS
summitsteps,Rushlight MS,SCH-03040,Rushlight MS
cognivo,Petalstone North Elementary School,SCH-03050,Petalstone North Elementary School
northquill,Birchcombe West Junior High,SCH-03007,Birchcombe West Junior High
cognivo,Glenmere South Elementary,SCH-03053,Glenmere South Elementary
quadrant,CAMP-213,SCH-03019,Alderfen East Intermediate School
summitsteps,Rushlight MS,SCH-80055,Rushlight MS Campus
quadrant,CAMP-826,SCH-03026,Vexford West High School
quadrant,CAMP-213,SCH-03019,Alderfen East Intermediate School
cognivo,Ironbridge South Primary School ,SCH-03057,Ironbridge South Primary School
northquill,Nettlebrook North MS,SCH-03014,Nettlebrook North MS
northquill,Juniper Vale South MS,SCH-03005,Juniper Vale South MS
summitsteps,Cindervale North Junior High ,SCH-03045,Cindervale North Junior High
summitsteps,Ivybrook MS,SCH-03036,Ivybrook MS
summitsteps,Ivybrook MS,SCH-89365,Ivybrook MS Campus
summitsteps,Kettlewick North Intermediate School ,SCH-03043,Kettlewick North Intermediate School
